epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1260.19,0.82014,0.6333,1.16372,0.97696,0.85408,0.95562,0.82368,0.55777,0.52623,1.03592,0.00079705,0.00079705,0.00079705
43,1290.42,0.81913,0.63523,1.1531,0.90983,0.84549,0.92624,0.78818,0.575,0.54917,1.07457,0.0007921,0.0007921,0.0007921
44,1320.68,0.81105,0.6268,1.1465,0.92617,0.83691,0.93825,0.83195,0.54259,0.52971,1.02492,0.00078715,0.00078715,0.00078715
45,1350.88,0.80638,0.61668,1.15956,0.9434,0.83691,0.93889,0.81632,0.54398,0.57507,1.059,0.0007822,0.0007822,0.0007822
46,1381.13,0.80461,0.60458,1.14678,0.94614,0.87124,0.93306,0.8193,0.55138,0.53474,1.04112,0.00077725,0.00077725,0.00077725
47,1411.36,0.8041,0.6103,1.13178,0.94561,0.7897,0.90276,0.78159,0.52294,0.57618,1.03194,0.0007723,0.0007723,0.0007723
48,1441.58,0.80511,0.60464,1.14299,0.95962,0.81587,0.93428,0.82328,0.51315,0.54249,1.0096,0.00076735,0.00076735,0.00076735
49,1471.84,0.83329,0.60044,1.15897,0.93021,0.85837,0.94439,0.81673,0.52079,0.49555,1.03132,0.0007624,0.0007624,0.0007624
50,1502.1,0.80923,0.60251,1.14078,0.93074,0.86514,0.95413,0.83126,0.52931,0.52681,1.02863,0.00075745,0.00075745,0.00075745
51,1532.33,0.79825,0.59748,1.13926,0.94632,0.83224,0.94576,0.82072,0.5245,0.51573,1.02003,0.0007525,0.0007525,0.0007525
52,1562.6,0.79703,0.58994,1.12665,0.91561,0.8382,0.93449,0.7859,0.5492,0.58138,1.05852,0.00074755,0.00074755,0.00074755
53,1592.82,0.81186,0.59829,1.13483,0.94044,0.81974,0.93648,0.8234,0.52007,0.57255,1.03097,0.0007426,0.0007426,0.0007426
54,1623.07,0.78988,0.59127,1.12019,0.86802,0.90325,0.94286,0.82909,0.4863,0.49407,0.99384,0.00073765,0.00073765,0.00073765
55,1653.3,0.77903,0.57734,1.10929,0.93852,0.85173,0.93915,0.82399,0.50164,0.51291,0.98654,0.0007327,0.0007327,0.0007327
56,1683.55,0.77489,0.57893,1.1186,0.90128,0.90125,0.94629,0.82558,0.52573,0.47419,1.00918,0.00072775,0.00072775,0.00072775
57,1713.81,0.78636,0.58128,1.11466,0.92368,0.8311,0.91706,0.78281,0.58719,0.55719,1.07413,0.0007228,0.0007228,0.0007228
58,1744.03,0.79766,0.58939,1.13447,0.9164,0.85408,0.9343,0.83777,0.48061,0.52223,0.98066,0.00071785,0.00071785,0.00071785
59,1774.26,0.77777,0.57625,1.1122,0.93124,0.83691,0.92797,0.80947,0.54437,0.56898,1.03147,0.0007129,0.0007129,0.0007129
60,1804.5,0.76176,0.55885,1.11168,0.94702,0.84387,0.9327,0.83251,0.49173,0.51697,0.97113,0.00070795,0.00070795,0.00070795
61,1834.75,0.76614,0.55221,1.11718,0.9111,0.83575,0.90905,0.80491,0.47939,0.60708,0.98358,0.000703,0.000703,0.000703
62,1865,0.79153,0.59364,1.12867,0.90819,0.85837,0.9379,0.82157,0.51306,0.54255,0.99978,0.00069805,0.00069805,0.00069805
63,1895.23,0.75851,0.55206,1.10609,0.93152,0.87574,0.94391,0.82749,0.48356,0.52255,0.99641,0.0006931,0.0006931,0.0006931
64,1925.45,0.74338,0.54054,1.0948,0.93575,0.82833,0.94596,0.81304,0.51181,0.48869,1.02217,0.00068815,0.00068815,0.00068815
65,1955.63,0.72691,0.52277,1.08828,0.93463,0.85912,0.94885,0.82864,0.53208,0.53045,1.024,0.0006832,0.0006832,0.0006832
66,1982.3,0.72854,0.52994,1.09189,0.89274,0.92877,0.9633,0.83439,0.51384,0.44711,1.00166,0.00067825,0.00067825,0.00067825
67,2003.87,0.74608,0.54366,1.103,0.92813,0.83139,0.91645,0.79314,0.51487,0.56136,1.00799,0.0006733,0.0006733,0.0006733
68,2034.11,0.72665,0.53863,1.09059,0.92664,0.8412,0.9278,0.82123,0.48587,0.53384,1.01896,0.00066835,0.00066835,0.00066835
69,2064.33,0.74006,0.53909,1.08571,0.91632,0.897,0.95381,0.84275,0.46567,0.46987,0.95964,0.0006634,0.0006634,0.0006634
70,2094.55,0.74081,0.54581,1.09258,0.96627,0.86072,0.94264,0.83255,0.49119,0.49919,0.99247,0.00065845,0.00065845,0.00065845
71,2124.82,0.72148,0.50715,1.07296,0.92688,0.87044,0.92694,0.82319,0.46412,0.49942,0.97406,0.0006535,0.0006535,0.0006535
72,2155.07,0.71436,0.51831,1.06859,0.9572,0.90129,0.9572,0.84987,0.47036,0.46562,0.96819,0.00064855,0.00064855,0.00064855
73,2185.29,0.71624,0.5352,1.06806,0.92353,0.85837,0.9412,0.84545,0.42511,0.46732,0.94395,0.0006436,0.0006436,0.0006436
74,2215.56,0.69272,0.50764,1.06152,0.93705,0.88841,0.9576,0.86885,0.39043,0.42168,0.93182,0.00063865,0.00063865,0.00063865
75,2245.79,0.70274,0.49968,1.0657,0.92616,0.86695,0.9491,0.86519,0.44039,0.4734,0.94272,0.0006337,0.0006337,0.0006337
76,2276.01,0.69331,0.50133,1.05662,0.98287,0.84549,0.93675,0.85818,0.4343,0.46985,0.95572,0.00062875,0.00062875,0.00062875
77,2306.26,0.68075,0.48823,1.0553,0.92648,0.8927,0.94866,0.85546,0.42906,0.44396,0.94672,0.0006238,0.0006238,0.0006238
78,2336.5,0.70004,0.49817,1.06673,0.92405,0.88841,0.94384,0.84152,0.46507,0.49241,0.96436,0.00061885,0.00061885,0.00061885
79,2366.76,0.68054,0.47385,1.05426,0.95259,0.87124,0.94762,0.87045,0.42646,0.42279,0.94956,0.0006139,0.0006139,0.0006139
80,2396.98,0.67635,0.4701,1.05097,0.91104,0.87909,0.93418,0.83557,0.45914,0.49729,0.97159,0.00060895,0.00060895,0.00060895
81,2427.22,0.67623,0.46499,1.04067,0.9541,0.86695,0.94555,0.84769,0.44543,0.45895,0.96463,0.000604,0.000604,0.000604
82,2457.47,0.6943,0.47871,1.04564,0.95902,0.84979,0.94661,0.8579,0.43942,0.46091,0.95942,0.00059905,0.00059905,0.00059905
83,2487.71,0.68821,0.47119,1.05678,0.92632,0.87983,0.93549,0.81661,0.51013,0.47648,1.03418,0.0005941,0.0005941,0.0005941
84,2517.95,0.69206,0.49163,1.05318,0.98324,0.81974,0.94821,0.87141,0.41848,0.44747,0.96239,0.00058915,0.00058915,0.00058915
85,2548.17,0.69814,0.47626,1.06017,0.94737,0.84549,0.94266,0.84295,0.43849,0.46779,0.96378,0.0005842,0.0005842,0.0005842
86,2578.41,0.68624,0.47132,1.04975,0.94595,0.90128,0.94511,0.84493,0.45587,0.45579,0.96182,0.00057925,0.00057925,0.00057925
87,2608.64,0.67472,0.47158,1.03679,0.93907,0.85987,0.95945,0.85179,0.45209,0.4104,0.95407,0.0005743,0.0005743,0.0005743
88,2638.9,0.66311,0.45706,1.02309,0.97636,0.83691,0.95135,0.85767,0.4435,0.43994,0.93703,0.00056935,0.00056935,0.00056935
